"Id","ensembl_gene_id","module","gene_symbol","organ","MM.pval","deseq2_sum.pval","geneID","is.hub","Label","hub_rank","log.MM","random_ranks"
"36","ENSMUSG00000028036","orange","Ptgfr","muscle",2.763621904358245e-6,1.9613236503274674e-5,"Ptgfr",FALSE,"",1,5.558521373773563,128
"46","ENSMUSG00000059939","orange","9430015G10Rik","muscle",2.8903883678656293e-6,0.15392312990924722,"9430015G10Rik",FALSE,"",1,5.539043799219558,71
"17","ENSMUSG00000034810","orange","Scn7a","muscle",3.0300002723648966e-6,6.215728806552804e-5,"Scn7a",FALSE,"",1,5.518557332459224,134
"125","ENSMUSG00000022180","orange","Slc7a8","muscle",3.0535159453032067e-6,6.469312857766087e-5,"Slc7a8",FALSE,"",1,5.515199807798748,76
"99","ENSMUSG00000049928","orange","Glp2r","muscle",3.5715204612746564e-6,0.001041856569364724,"Glp2r",FALSE,"",1,5.447146857455099,90
"42","ENSMUSG00000028618","orange","Tmem59","muscle",3.853293820516206e-6,0.0059541530409318024,"Tmem59",FALSE,"",1,5.414167873996681,135
"149","ENSMUSG00000033855","orange","Ston1","muscle",4.10009799426062e-6,0.02292918371189305,"Ston1",FALSE,"",1,5.387205763314884,7
"152","ENSMUSG00000032735","orange","Ablim3","muscle",4.450667514130034e-6,2.727097318147954e-4,"Ablim3",FALSE,"",1,5.351574848353303,24
"96","ENSMUSG00000109829","orange","Gm45605","muscle",4.705141708644668e-6,5.086168595403549e-5,"Gm45605",FALSE,"",1,5.327427292033614,68
"158","ENSMUSG00000040105","orange","Plpp6","muscle",4.727244509453012e-6,0.030629842011251737,"Plpp6",FALSE,"",1,5.325391933901881,89
"81","ENSMUSG00000051495","orange","Irf2bp2","muscle",4.981458383765009e-6,5.898291522457124e-6,"Irf2bp2",FALSE,"",1,5.30264349352554,15
"114","ENSMUSG00000021260","orange","Hhipl1","muscle",5.135518997343328e-6,0.0053169325613569365,"Hhipl1",FALSE,"",1,5.289415659896779,77
"103","ENSMUSG00000017167","orange","Cntnap1","muscle",6.537903647449114e-6,5.254772029129917e-4,"Cntnap1",FALSE,"",1,5.184561484136426,57
"20","ENSMUSG00000002108","orange","Nr1h3","muscle",6.828104602780028e-6,0.0044681892216563565,"Nr1h3",FALSE,"",1,5.16569983435546,2
"24","ENSMUSG00000084797","orange","Gm14321","muscle",7.212254833122541e-6,0.00904851508003705,"Gm14321",FALSE,"",1,5.141928936599707,29
"16","ENSMUSG00000026994","orange","Galnt3","muscle",7.519586313768079e-6,2.9634456308265957e-6,"Galnt3",FALSE,"",1,5.123806051242091,79
"48","ENSMUSG00000049907","orange","Rasl11b","muscle",9.2934194712747e-6,0.0013246759898599748,"Rasl11b",FALSE,"",1,5.031824459928635,137
"39","ENSMUSG00000118434","orange","Gm13301","muscle",1.1144241751784202e-5,0.031111314146807716,"Gm13301",FALSE,"",1,4.952949475341534,3
"37","ENSMUSG00000028280","orange","Gabrr1","muscle",1.3297406127693046e-5,0.10518516859891978,"Gabrr1",FALSE,"",1,4.876233066874561,53
"57","ENSMUSG00000037621","orange","Atoh8","muscle",1.4600025220698347e-5,6.860226219552603e-4,"Atoh8",FALSE,"",1,4.835646393996339,95
"13","ENSMUSG00000057738","orange","Sptan1","muscle",1.4660029070260497e-5,0.004685386264397939,"Sptan1",FALSE,"",1,4.833865168505177,69
"138","ENSMUSG00000022668","orange","Gtpbp8","muscle",1.4898516336568853e-5,0.7396215786828922,"Gtpbp8",FALSE,"",1,4.826856978495351,13
"47","ENSMUSG00000029189","orange","Sel1l3","muscle",1.6419443453537403e-5,5.993964979744355e-5,"Sel1l3",FALSE,"",1,4.784641567627903,48
"142","ENSMUSG00000024030","orange","Abcg1","muscle",1.9429287685564244e-5,0.004679262902069721,"Abcg1",FALSE,"",1,4.711543121165504,40
"97","ENSMUSG00000018500","orange","Adora2b","muscle",2.020704812806575e-5,0.018076206271045506,"Adora2b",FALSE,"",1,4.694497124155381,105
"83","ENSMUSG00000038957","orange","Edc3","muscle",2.2798290001259708e-5,0.12070127354183523,"Edc3",FALSE,"",1,4.642097726283207,129
"21","ENSMUSG00000062098","orange","Btbd3","muscle",2.536377531469002e-5,0.014284416314787924,"Btbd3",FALSE,"",1,4.5957861026709494,12
"30","ENSMUSG00000062232","orange","Rapgef2","muscle",2.6445617195013544e-5,0.0015770342657972904,"Rapgef2",FALSE,"",1,4.577646292843871,33
"43","ENSMUSG00000028713","orange","Cyp4b1","muscle",2.9625158554432145e-5,0.045410176899553845,"Cyp4b1",FALSE,"",1,4.528339316622998,28
"32","ENSMUSG00000027845","orange","Dclre1b","muscle",3.117504962645892e-5,0.01420671144020598,"Dclre1b",FALSE,"",1,4.506192846510844,120
"23","ENSMUSG00000085151","orange","1110018N20Rik","muscle",3.210795832899006e-5,0.004811693910339361,"1110018N20Rik",FALSE,"",1,4.493387309339884,97
"65","ENSMUSG00000043432","orange","Leng9","muscle",4.037074892800737e-5,0.006101916852328533,"Leng9",FALSE,"",1,4.393933193807818,96
"59","ENSMUSG00000063415","orange","Cyp26b1","muscle",4.729000968529237e-5,0.04587173109503891,"Cyp26b1",FALSE,"",1,4.325230597038314,74
"116","ENSMUSG00000113682","orange","Gm48630","muscle",5.3426936495912116e-5,0.24711790007464332,"Gm48630",FALSE,"",1,4.27223972757761,30
"80","ENSMUSG00000025316","orange","Banp","muscle",6.37830156411065e-5,4.7505932968641446e-4,"Banp",FALSE,"",1,4.19529495129985,92
"26","ENSMUSG00000027540","orange","Ptpn1","muscle",6.654849544539851e-5,0.05466938984959222,"Ptpn1",FALSE,"",1,4.17686175877905,55
"112","ENSMUSG00000072919","orange","Noxred1","muscle",7.54911000023763e-5,0.1340119580208661,"Noxred1",FALSE,"",1,4.122104246353492,6
"154","ENSMUSG00000032946","orange","Rasgrp2","muscle",8.000002374857028e-5,0.00904995492631515,"Rasgrp2",FALSE,"",1,4.0969098840846625,124
"28","ENSMUSG00000044167","orange","Foxo1","muscle",8.205407541731085e-5,1.0238863922806368e-4,"Foxo1",FALSE,"",1,4.085899843772438,21
"139","ENSMUSG00000048490","orange","Nrip1","muscle",8.852729995350851e-5,0.0013196129812200123,"Nrip1",FALSE,"",1,4.052922781382706,64
